N;Instance;Decoder;Total Distance;Time Spent;Alpha
N010;60;PositionalDecoderWithVehicleByPercentage;920,86;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;883,00;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;862,29;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;909,52;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;868,40;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;903,46;164,92;Alpha1
N010;60;PositionalDecoderWithVehicleByPercentage;859,22;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;863,45;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;887,39;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;868,40;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;886,49;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;909,52;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;881,85;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;857,65;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;899,40;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;890,27;164,92;Alpha1
N010;60;TimeDecoderWithVehicleByPercentage;863,48;164,92;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;826,44;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;832,43;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;828,24;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;829,90;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;874,53;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;901,03;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;882,54;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;895,95;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;857,31;136,31;Alpha1
N010;54;PositionalDecoderWithVehicleByPercentage;862,01;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;830,69;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;847,62;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;838,89;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;826,01;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;848,57;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;826,86;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;836,96;136,31;Alpha1
N010;54;TimeDecoderWithVehicleByPercentage;808,35;136,31;Alpha1
