N;Instance;Decoder;Total Distance;Time Spent;Alpha
N10;54;PositionalDecoderWithVehicleByPercentage;876,58;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;874,40;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;840,37;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;888,62;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;882,54;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;867,21;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;846,72;136,31;Alpha2
N10;54;PositionalDecoderWithVehicleByPercentage;888,62;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;857,15;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;875,19;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;881,09;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;865,37;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;888,62;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;848,91;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;849,01;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;874,53;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;862,01;136,31;Alpha2
N10;54;TimeDecoderWithVehicleByPercentage;871,53;136,31;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;978,52;182,37;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;938,92;182,37;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;1023,74;182,37;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;1036,54;182,37;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;1040,86;182,37;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;894,76;229,10;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;909,28;240,85;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;939,46;182,37;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;930,40;182,37;Alpha2
N10;55;PositionalDecoderWithVehicleByPercentage;1043,27;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;995,89;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;971,79;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;1048,59;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;980,33;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;1025,71;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;989,26;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;942,84;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;995,89;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;1032,37;182,37;Alpha2
N10;55;TimeDecoderWithVehicleByPercentage;1048,66;182,37;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;842,73;171,29;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;842,73;171,29;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;816,58;171,29;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;726,17;171,29;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;904,14;175,02;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;838,41;171,29;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;829,27;171,29;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;938,04;175,02;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;819,70;171,29;Alpha2
N10;56;PositionalDecoderWithVehicleByPercentage;870,59;171,29;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;790,81;171,29;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;869,14;171,29;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;940,19;175,02;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;918,11;175,02;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;798,38;171,29;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;833,55;171,29;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;886,09;171,29;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;800,71;204,30;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;824,57;171,29;Alpha2
N10;56;TimeDecoderWithVehicleByPercentage;858,31;171,29;Alpha2
